Hour,DryBulbTemp_C,RelativeHumidity_%,Pressure_kPa,WindSpeed_m/s
162,24.92,58.27,101.3,2.5
163,24.93,58.26,101.3,2.5
164,24.93,58.25,101.3,2.5
165,24.94,58.24,101.3,2.5
166,24.94,58.23,101.3,2.5
167,24.95,58.22,101.3,2.5
168,24.96,58.21,101.3,2.5
169,24.96,58.2,101.3,2.5
170,24.97,58.19,101.3,2.5
171,24.97,58.18,101.3,2.5
172,24.98,58.16,101.3,2.5
173,24.98,58.15,101.3,2.5
174,24.99,58.14,101.3,2.5
175,25,58.13,101.3,2.5
176,25,58.12,101.3,2.5
177,25.01,58.11,101.3,2.5
178,25.01,58.1,101.3,2.5
179,25.02,58.09,101.3,2.5
180,25.02,58.08,101.3,2.5
181,25.03,58.07,101.3,2.5
182,25.04,58.06,101.3,2.5
183,25.04,58.05,101.3,2.5
184,25.05,58.04,101.3,2.5
185,25.05,58.03,101.3,2.5
186,25.06,58.02,101.3,2.5
187,25.06,58,101.3,2.5
188,25.07,57.99,101.3,2.5
189,25.08,57.98,101.3,2.5
190,25.08,57.97,101.3,2.5
191,25.09,57.96,101.3,2.5
192,25.09,57.95,101.3,2.5
193,25.1,57.94,101.3,2.5
194,25.1,57.93,101.3,2.5
195,25.11,57.92,101.3,2.5
196,25.12,57.91,101.3,2.5
197,25.12,57.9,101.3,2.5
198,25.13,57.89,101.3,2.5
199,25.13,57.88,101.3,2.5
200,25.14,57.87,101.3,2.5
201,25.14,57.86,101.3,2.5
202,25.15,57.84,101.3,2.5
203,25.16,57.83,101.3,2.5
204,25.16,57.82,101.3,2.5
205,25.17,57.81,101.3,2.5
206,25.17,57.8,101.3,2.5
207,25.18,57.79,101.3,2.5
208,25.18,57.78,101.3,2.5
209,25.19,57.77,101.3,2.5
210,25.19,57.76,101.3,2.5
211,25.2,57.75,101.3,2.5
212,25.21,57.74,101.3,2.5
213,25.21,57.73,101.3,2.5
214,25.22,57.72,101.3,2.5
215,25.22,57.71,101.3,2.5
216,25.23,57.7,101.3,2.5
217,25.23,57.69,101.3,2.5
218,25.24,57.67,101.3,2.5
219,25.25,57.66,101.3,2.5
220,25.25,57.65,101.3,2.5
221,25.26,57.64,101.3,2.5
222,25.26,57.63,101.3,2.5
223,25.27,57.62,101.3,2.5
224,25.27,57.61,101.3,2.5
225,25.28,57.6,101.3,2.5
226,25.29,57.59,101.3,2.5
227,25.29,57.58,101.3,2.5
228,25.3,57.57,101.3,2.5
229,25.3,57.56,101.3,2.5
230,25.31,57.55,101.3,2.5
231,25.31,57.54,101.3,2.5
232,25.32,57.53,101.3,2.5
233,25.33,57.52,101.3,2.5
234,25.33,57.5,101.3,2.5
235,25.34,57.49,101.3,2.5
236,25.34,57.48,101.3,2.5
237,25.35,57.47,101.3,2.5
238,25.35,57.46,101.3,2.5
239,25.36,57.45,101.3,2.5
240,25.36,57.44,101.3,2.5
241,25.37,57.43,101.3,2.5
242,25.38,57.42,101.3,2.5
243,25.38,57.41,101.3,2.5
244,25.39,57.4,101.3,2.5
245,25.39,57.39,101.3,2.5
246,25.4,57.38,101.3,2.5
247,25.4,57.37,101.3,2.5
248,25.41,57.36,101.3,2.5
249,25.42,57.35,101.3,2.5
250,25.42,57.34,101.3,2.5
251,25.43,57.32,101.3,2.5
252,25.43,57.31,101.3,2.5
253,25.44,57.3,101.3,2.5
254,25.44,57.29,101.3,2.5
255,25.45,57.28,101.3,2.5
256,25.46,57.27,101.3,2.5
257,25.46,57.26,101.3,2.5
258,25.47,57.25,101.3,2.5
259,25.47,57.24,101.3,2.5
260,25.48,57.23,101.3,2.5
261,25.48,57.22,101.3,2.5
262,25.49,57.21,101.3,2.5
263,25.49,57.2,101.3,2.5
264,25.5,57.19,101.3,2.5
265,25.51,57.18,101.3,2.5
266,25.51,57.17,101.3,2.5
267,25.52,57.16,101.3,2.5
268,25.52,57.14,101.3,2.5
269,25.53,57.13,101.3,2.5
270,25.53,57.12,101.3,2.5
271,25.54,57.11,101.3,2.5
272,25.55,57.1,101.3,2.5
273,25.55,57.09,101.3,2.5
274,25.56,57.08,101.3,2.5
275,25.56,57.07,101.3,2.5
276,25.57,57.06,101.3,2.5
277,25.57,57.05,101.3,2.5
278,25.58,57.04,101.3,2.5
279,25.58,57.03,101.3,2.5
280,25.59,57.02,101.3,2.5
281,25.6,57.01,101.3,2.5
282,25.6,57,101.3,2.5
283,25.61,56.99,101.3,2.5
284,25.61,56.98,101.3,2.5
285,25.62,56.97,101.3,2.5
286,25.62,56.96,101.3,2.5
287,25.63,56.94,101.3,2.5
288,25.64,56.93,101.3,2.5
289,25.64,56.92,101.3,2.5
290,25.65,56.91,101.3,2.5
291,25.65,56.9,101.3,2.5
292,25.66,56.89,101.3,2.5
293,25.66,56.88,101.3,2.5
294,25.67,56.87,101.3,2.5
295,25.67,56.86,101.3,2.5
296,25.68,56.85,101.3,2.5
297,25.69,56.84,101.3,2.5
298,25.69,56.83,101.3,2.5
299,25.7,56.82,101.3,2.5
300,25.7,56.81,101.3,2.5
301,25.71,56.8,101.3,2.5
302,25.71,56.79,101.3,2.5
303,25.72,56.78,101.3,2.5
304,25.72,56.77,101.3,2.5
305,25.73,56.76,101.3,2.5
306,25.74,56.74,101.3,2.5
307,25.74,56.73,101.3,2.5
308,25.75,56.72,101.3,2.5
309,25.75,56.71,101.3,2.5
310,25.76,56.7,101.3,2.5
311,25.76,56.69,101.3,2.5
312,25.77,56.68,101.3,2.5
313,25.78,56.67,101.3,2.5
314,25.78,56.66,101.3,2.5
315,25.79,56.65,101.3,2.5
316,25.79,56.64,101.3,2.5
317,25.8,56.63,101.3,2.5
318,25.8,56.62,101.3,2.5
319,25.81,56.61,101.3,2.5
320,25.81,56.6,101.3,2.5
321,25.82,56.59,101.3,2.5
322,25.83,56.58,101.3,2.5
323,25.83,56.57,101.3,2.5
324,25.84,56.56,101.3,2.5
325,25.84,56.55,101.3,2.5
326,25.85,56.53,101.3,2.5
327,25.85,56.52,101.3,2.5
328,25.86,56.51,101.3,2.5
329,25.86,56.5,101.3,2.5
330,25.87,56.49,101.3,2.5
331,25.88,56.48,101.3,2.5
332,25.88,56.47,101.3,2.5
333,25.89,56.46,101.3,2.5
334,25.89,56.45,101.3,2.5
335,25.9,56.44,101.3,2.5
336,25.9,56.43,101.3,2.5
337,25.91,56.42,101.3,2.5
338,25.91,56.41,101.3,2.5
339,25.92,56.4,101.3,2.5
340,25.93,56.39,101.3,2.5
341,25.93,56.38,101.3,2.5
342,25.94,56.37,101.3,2.5
343,25.94,56.36,101.3,2.5
344,25.95,56.35,101.3,2.5
345,25.95,56.34,101.3,2.5
346,25.96,56.33,101.3,2.5
347,25.97,56.32,101.3,2.5
348,25.97,56.31,101.3,2.5
349,25.98,56.29,101.3,2.5
350,25.98,56.28,101.3,2.5
351,25.99,56.27,101.3,2.5
352,25.99,56.26,101.3,2.5
353,26,56.25,101.3,2.5
354,26,56.24,101.3,2.5
355,26.01,56.23,101.3,2.5
356,26.02,56.22,101.3,2.5
357,26.02,56.21,101.3,2.5
358,26.03,56.2,101.3,2.5
359,26.03,56.19,101.3,2.5
360,26.04,56.18,101.3,2.5
361,26.04,56.17,101.3,2.5
362,26.05,56.16,101.3,2.5
363,26.05,56.15,101.3,2.5
364,26.06,56.14,101.3,2.5
365,26.07,56.13,101.3,2.5
366,26.07,56.12,101.3,2.5
367,26.08,56.11,101.3,2.5
368,26.08,56.1,101.3,2.5
369,26.09,56.09,101.3,2.5
370,26.09,56.08,101.3,2.5
371,26.1,56.07,101.3,2.5
372,26.1,56.06,101.3,2.5
373,26.11,56.05,101.3,2.5
374,26.11,56.03,101.3,2.5
375,26.12,56.02,101.3,2.5
376,26.13,56.01,101.3,2.5
377,26.13,56,101.3,2.5
378,26.14,55.99,101.3,2.5
379,26.14,55.98,101.3,2.5
380,26.15,55.97,101.3,2.5
381,26.15,55.96,101.3,2.5
382,26.16,55.95,101.3,2.5
383,26.16,55.94,101.3,2.5
384,26.17,55.93,101.3,2.5
385,26.18,55.92,101.3,2.5
386,26.18,55.91,101.3,2.5
387,26.19,55.9,101.3,2.5
388,26.19,55.89,101.3,2.5
389,26.2,55.88,101.3,2.5
390,26.2,55.87,101.3,2.5
391,26.21,55.86,101.3,2.5
392,26.21,55.85,101.3,2.5
393,26.22,55.84,101.3,2.5
394,26.23,55.83,101.3,2.5
395,26.23,55.82,101.3,2.5
396,26.24,55.81,101.3,2.5
397,26.24,55.8,101.3,2.5
398,26.25,55.79,101.3,2.5
399,26.25,55.78,101.3,2.5
400,26.26,55.77,101.3,2.5
401,26.26,55.76,101.3,2.5
402,26.27,55.74,101.3,2.5
403,26.27,55.73,101.3,2.5
404,26.28,55.72,101.3,2.5
405,26.29,55.71,101.3,2.5
406,26.29,55.7,101.3,2.5
407,26.3,55.69,101.3,2.5
408,26.3,55.68,101.3,2.5
409,26.31,55.67,101.3,2.5
410,26.31,55.66,101.3,2.5
411,26.32,55.65,101.3,2.5
412,26.32,55.64,101.3,2.5
413,26.33,55.63,101.3,2.5
414,26.34,55.62,101.3,2.5
415,26.34,55.61,101.3,2.5
416,26.35,55.6,101.3,2.5
417,26.35,55.59,101.3,2.5
418,26.36,55.58,101.3,2.5
419,26.36,55.57,101.3,2.5
420,26.37,55.56,101.3,2.5
421,26.37,55.55,101.3,2.5
422,26.38,55.54,101.3,2.5
423,26.38,55.53,101.3,2.5
424,26.39,55.52,101.3,2.5
425,26.4,55.51,101.3,2.5
426,26.4,55.5,101.3,2.5
427,26.41,55.49,101.3,2.5
428,26.41,55.48,101.3,2.5
429,26.42,55.47,101.3,2.5
430,26.42,55.46,101.3,2.5
431,26.43,55.45,101.3,2.5
432,26.43,55.44,101.3,2.5
433,26.44,55.43,101.3,2.5
434,26.44,55.42,101.3,2.5
435,26.45,55.41,101.3,2.5
436,26.46,55.4,101.3,2.5
437,26.46,55.39,101.3,2.5
438,26.47,55.37,101.3,2.5
439,26.47,55.36,101.3,2.5
440,26.48,55.35,101.3,2.5
441,26.48,55.34,101.3,2.5
442,26.49,55.33,101.3,2.5
443,26.49,55.32,101.3,2.5
444,26.5,55.31,101.3,2.5
445,26.5,55.3,101.3,2.5
446,26.51,55.29,101.3,2.5
447,26.52,55.28,101.3,2.5
448,26.52,55.27,101.3,2.5
449,26.53,55.26,101.3,2.5
450,26.53,55.25,101.3,2.5
451,26.54,55.24,101.3,2.5
452,26.54,55.23,101.3,2.5
453,26.55,55.22,101.3,2.5
454,26.55,55.21,101.3,2.5
455,26.56,55.2,101.3,2.5
456,26.56,55.19,101.3,2.5
457,26.57,55.18,101.3,2.5
458,26.58,55.17,101.3,2.5
459,26.58,55.16,101.3,2.5
460,26.59,55.15,101.3,2.5
461,26.59,55.14,101.3,2.5
462,26.6,55.13,101.3,2.5
463,26.6,55.12,101.3,2.5
464,26.61,55.11,101.3,2.5
465,26.61,55.1,101.3,2.5
466,26.62,55.09,101.3,2.5
467,26.62,55.08,101.3,2.5
468,26.63,55.07,101.3,2.5
469,26.64,55.06,101.3,2.5
470,26.64,55.05,101.3,2.5
471,26.65,55.04,101.3,2.5
472,26.65,55.03,101.3,2.5
473,26.66,55.02,101.3,2.5
474,26.66,55.01,101.3,2.5
475,26.67,55,101.3,2.5
476,26.67,54.99,101.3,2.5
477,26.68,54.98,101.3,2.5
478,26.68,54.97,101.3,2.5
479,26.69,54.96,101.3,2.5
480,26.69,54.95,101.3,2.5
481,26.7,54.94,101.3,2.5
482,26.71,54.93,101.3,2.5
483,26.71,54.92,101.3,2.5
484,26.72,54.91,101.3,2.5
485,26.72,54.9,101.3,2.5
486,26.73,54.89,101.3,2.5
487,26.73,54.88,101.3,2.5
488,26.74,54.87,101.3,2.5
489,26.74,54.86,101.3,2.5
490,26.75,54.85,101.3,2.5
491,26.75,54.84,101.3,2.5
492,26.76,54.83,101.3,2.5
493,26.76,54.82,101.3,2.5
494,26.77,54.81,101.3,2.5
495,26.78,54.8,101.3,2.5
496,26.78,54.79,101.3,2.5
497,26.79,54.78,101.3,2.5
498,26.79,54.77,101.3,2.5
499,26.8,54.76,101.3,2.5
500,26.8,54.75,101.3,2.5
501,26.81,54.74,101.3,2.5
502,26.81,54.73,101.3,2.5
503,26.82,54.71,101.3,2.5
504,26.82,54.7,101.3,2.5
505,26.83,54.69,101.3,2.5
506,26.83,54.68,101.3,2.5
507,26.84,54.67,101.3,2.5
508,26.85,54.66,101.3,2.5
509,26.85,54.65,101.3,2.5
510,26.86,54.64,101.3,2.5
511,26.86,54.63,101.3,2.5
512,26.87,54.62,101.3,2.5
513,26.87,54.61,101.3,2.5
514,26.88,54.6,101.3,2.5
515,26.88,54.59,101.3,2.5
516,26.89,54.58,101.3,2.5
517,26.89,54.57,101.3,2.5
518,26.9,54.56,101.3,2.5
519,26.9,54.55,101.3,2.5
520,26.91,54.54,101.3,2.5
521,26.92,54.53,101.3,2.5
522,26.92,54.52,101.3,2.5
523,26.93,54.51,101.3,2.5
524,26.93,54.5,101.3,2.5
525,26.94,54.49,101.3,2.5
526,26.94,54.48,101.3,2.5
527,26.95,54.47,101.3,2.5
528,26.95,54.46,101.3,2.5
529,26.96,54.45,101.3,2.5
530,26.96,54.44,101.3,2.5
531,26.97,54.43,101.3,2.5
532,26.97,54.42,101.3,2.5
533,26.98,54.41,101.3,2.5
534,26.98,54.4,101.3,2.5
535,26.99,54.39,101.3,2.5
536,27,54.38,101.3,2.5
537,27,54.37,101.3,2.5
538,27.01,54.36,101.3,2.5
539,27.01,54.35,101.3,2.5
540,27.02,54.34,101.3,2.5
541,27.02,54.33,101.3,2.5
542,27.03,54.32,101.3,2.5
543,27.03,54.31,101.3,2.5
544,27.04,54.3,101.3,2.5
545,27.04,54.29,101.3,2.5
546,27.05,54.28,101.3,2.5
547,27.05,54.27,101.3,2.5
548,27.06,54.26,101.3,2.5
549,27.06,54.25,101.3,2.5
550,27.07,54.24,101.3,2.5
551,27.07,54.23,101.3,2.5
552,27.08,54.22,101.3,2.5
553,27.09,54.22,101.3,2.5
554,27.09,54.21,101.3,2.5
555,27.1,54.2,101.3,2.5
556,27.1,54.19,101.3,2.5
557,27.11,54.18,101.3,2.5
558,27.11,54.17,101.3,2.5
559,27.12,54.16,101.3,2.5
560,27.12,54.15,101.3,2.5
561,27.13,54.14,101.3,2.5
562,27.13,54.13,101.3,2.5
563,27.14,54.12,101.3,2.5
564,27.14,54.11,101.3,2.5
565,27.15,54.1,101.3,2.5
566,27.15,54.09,101.3,2.5
567,27.16,54.08,101.3,2.5
568,27.16,54.07,101.3,2.5
569,27.17,54.06,101.3,2.5
570,27.18,54.05,101.3,2.5
571,27.18,54.04,101.3,2.5
572,27.19,54.03,101.3,2.5
573,27.19,54.02,101.3,2.5
574,27.2,54.01,101.3,2.5
575,27.2,54,101.3,2.5
576,27.21,53.99,101.3,2.5
577,27.21,53.98,101.3,2.5
578,27.22,53.97,101.3,2.5
579,27.22,53.96,101.3,2.5
580,27.23,53.95,101.3,2.5
581,27.23,53.94,101.3,2.5
582,27.24,53.93,101.3,2.5
583,27.24,53.92,101.3,2.5
584,27.25,53.91,101.3,2.5
585,27.25,53.9,101.3,2.5
586,27.26,53.89,101.3,2.5
587,27.26,53.88,101.3,2.5
588,27.27,53.87,101.3,2.5
589,27.27,53.86,101.3,2.5
590,27.28,53.85,101.3,2.5
591,27.29,53.84,101.3,2.5
592,27.29,53.83,101.3,2.5
593,27.3,53.82,101.3,2.5
594,27.3,53.81,101.3,2.5
595,27.31,53.8,101.3,2.5
596,27.31,53.79,101.3,2.5
597,27.32,53.78,101.3,2.5
598,27.32,53.77,101.3,2.5
599,27.33,53.76,101.3,2.5
600,27.33,53.75,101.3,2.5
601,27.34,53.74,101.3,2.5
602,27.34,53.73,101.3,2.5
603,27.35,53.72,101.3,2.5
604,27.35,53.71,101.3,2.5
605,27.36,53.7,101.3,2.5
606,27.36,53.69,101.3,2.5
607,27.37,53.68,101.3,2.5
608,27.37,53.67,101.3,2.5
609,27.38,53.66,101.3,2.5
610,27.38,53.65,101.3,2.5
611,27.39,53.64,101.3,2.5
612,27.39,53.63,101.3,2.5
613,27.4,53.62,101.3,2.5
614,27.41,53.62,101.3,2.5
615,27.41,53.61,101.3,2.5
616,27.42,53.6,101.3,2.5
617,27.42,53.59,101.3,2.5
618,27.43,53.58,101.3,2.5
619,27.43,53.57,101.3,2.5
620,27.44,53.56,101.3,2.5
621,27.44,53.55,101.3,2.5
622,27.45,53.54,101.3,2.5
623,27.45,53.53,101.3,2.5
624,27.46,53.52,101.3,2.5
625,27.46,53.51,101.3,2.5
626,27.47,53.5,101.3,2.5
627,27.47,53.49,101.3,2.5
628,27.48,53.48,101.3,2.5
629,27.48,53.47,101.3,2.5
630,27.49,53.46,101.3,2.5
631,27.49,53.45,101.3,2.5
632,27.5,53.44,101.3,2.5
633,27.5,53.43,101.3,2.5
634,27.51,53.42,101.3,2.5
635,27.51,53.41,101.3,2.5
636,27.52,53.4,101.3,2.5
637,27.52,53.39,101.3,2.5
638,27.53,53.38,101.3,2.5
639,27.53,53.37,101.3,2.5
640,27.54,53.36,101.3,2.5
641,27.54,53.35,101.3,2.5
642,27.55,53.34,101.3,2.5
643,27.56,53.33,101.3,2.5
644,27.56,53.32,101.3,2.5
645,27.57,53.32,101.3,2.5
646,27.57,53.31,101.3,2.5
647,27.58,53.3,101.3,2.5
648,27.58,53.29,101.3,2.5
649,27.59,53.28,101.3,2.5
650,27.59,53.27,101.3,2.5
651,27.6,53.26,101.3,2.5
652,27.6,53.25,101.3,2.5
653,27.61,53.24,101.3,2.5
654,27.61,53.23,101.3,2.5
655,27.62,53.22,101.3,2.5
656,27.62,53.21,101.3,2.5
657,27.63,53.2,101.3,2.5
658,27.63,53.19,101.3,2.5
659,27.64,53.18,101.3,2.5
660,27.64,53.17,101.3,2.5
661,27.65,53.16,101.3,2.5
662,27.65,53.15,101.3,2.5
663,27.66,53.14,101.3,2.5
664,27.66,53.13,101.3,2.5
665,27.67,53.12,101.3,2.5
666,27.67,53.11,101.3,2.5
667,27.68,53.1,101.3,2.5
668,27.68,53.09,101.3,2.5
669,27.69,53.08,101.3,2.5
670,27.69,53.08,101.3,2.5
671,27.7,53.07,101.3,2.5
672,27.7,53.06,101.3,2.5
673,27.71,53.05,101.3,2.5
674,27.71,53.04,101.3,2.5
675,27.72,53.03,101.3,2.5
676,27.72,53.02,101.3,2.5
677,27.73,53.01,101.3,2.5
678,27.73,53,101.3,2.5
679,27.74,52.99,101.3,2.5
680,27.74,52.98,101.3,2.5
681,27.75,52.97,101.3,2.5
682,27.75,52.96,101.3,2.5
683,27.76,52.95,101.3,2.5
684,27.76,52.94,101.3,2.5
685,27.77,52.93,101.3,2.5
686,27.77,52.92,101.3,2.5
687,27.78,52.91,101.3,2.5
688,27.78,52.9,101.3,2.5
689,27.79,52.89,101.3,2.5
690,27.79,52.89,101.3,2.5
691,27.8,52.88,101.3,2.5
692,27.8,52.87,101.3,2.5
693,27.81,52.86,101.3,2.5
694,27.81,52.85,101.3,2.5
695,27.82,52.84,101.3,2.5
696,27.82,52.83,101.3,2.5
697,27.83,52.82,101.3,2.5
698,27.83,52.81,101.3,2.5
699,27.84,52.8,101.3,2.5
700,27.84,52.79,101.3,2.5
701,27.85,52.78,101.3,2.5
702,27.86,52.77,101.3,2.5
703,27.86,52.76,101.3,2.5
704,27.87,52.75,101.3,2.5
705,27.87,52.74,101.3,2.5
706,27.88,52.73,101.3,2.5
707,27.88,52.72,101.3,2.5
708,27.89,52.72,101.3,2.5
709,27.89,52.71,101.3,2.5
710,27.9,52.7,101.3,2.5
711,27.9,52.69,101.3,2.5
712,27.91,52.68,101.3,2.5
713,27.91,52.67,101.3,2.5
714,27.92,52.66,101.3,2.5
715,27.92,52.65,101.3,2.5
716,27.93,52.64,101.3,2.5
717,27.93,52.63,101.3,2.5
718,27.94,52.62,101.3,2.5
719,27.94,52.61,101.3,2.5
720,27.95,52.6,101.3,2.5
721,27.95,52.59,101.3,2.5
722,27.96,52.58,101.3,2.5
723,27.96,52.57,101.3,2.5
724,27.97,52.57,101.3,2.5
725,27.97,52.56,101.3,2.5
726,27.98,52.55,101.3,2.5
727,27.98,52.54,101.3,2.5
728,27.99,52.53,101.3,2.5
729,27.99,52.52,101.3,2.5
730,28,52.51,101.3,2.5
731,28,52.5,101.3,2.5
732,28,52.49,101.3,2.5
733,28.01,52.48,101.3,2.5
734,28.01,52.47,101.3,2.5
735,28.02,52.46,101.3,2.5
736,28.02,52.45,101.3,2.5
737,28.03,52.44,101.3,2.5
738,28.03,52.43,101.3,2.5
739,28.04,52.43,101.3,2.5
740,28.04,52.42,101.3,2.5
741,28.05,52.41,101.3,2.5
742,28.05,52.4,101.3,2.5
743,28.06,52.39,101.3,2.5
744,28.06,52.38,101.3,2.5
745,28.07,52.37,101.3,2.5
746,28.07,52.36,101.3,2.5
747,28.08,52.35,101.3,2.5
748,28.08,52.34,101.3,2.5
749,28.09,52.33,101.3,2.5
750,28.09,52.32,101.3,2.5
751,28.1,52.31,101.3,2.5
752,28.1,52.31,101.3,2.5
753,28.11,52.3,101.3,2.5
754,28.11,52.29,101.3,2.5
755,28.12,52.28,101.3,2.5
756,28.12,52.27,101.3,2.5
757,28.13,52.26,101.3,2.5
758,28.13,52.25,101.3,2.5
759,28.14,52.24,101.3,2.5
760,28.14,52.23,101.3,2.5
761,28.15,52.22,101.3,2.5
762,28.15,52.21,101.3,2.5
763,28.16,52.2,101.3,2.5
764,28.16,52.19,101.3,2.5
765,28.17,52.19,101.3,2.5
766,28.17,52.18,101.3,2.5
767,28.18,52.17,101.3,2.5
768,28.18,52.16,101.3,2.5
769,28.19,52.15,101.3,2.5
770,28.19,52.14,101.3,2.5
771,28.2,52.13,101.3,2.5
772,28.2,52.12,101.3,2.5
773,28.21,52.11,101.3,2.5
774,28.21,52.1,101.3,2.5
