tempC,rh,itLoadKW,electricityPrice,waterPrice,carbonFactor,bestTechnique
24.6321,87.9979,1508.5612,0.0806,1.3081,0.5969,Evaporative
21.7665,46.5949,543.9693,0.1042,1.6496,0.4635,Evaporative
44.9231,28.9233,999.6638,0.1221,1.4327,0.3725,ChilledWater
18.3124,87.9895,1514.6381,0.0892,0.7761,0.5102,ChilledWater
25.3851,47.5685,1397.9417,0.0819,2.2609,0.4917,Evaporative
25.9533,57.7103,338.6281,0.2109,0.3589,0.5184,Evaporative
25.7172,45.3747,451.3213,0.1552,1.7275,0.3271,Evaporative
39.8879,78.2260,1440.7935,0.0778,2.4597,0.4859,ChilledWater
32.0027,82.7688,1459.0714,0.1809,1.4942,0.2700,Evaporative
42.0812,46.4375,935.3503,0.0617,1.6715,0.2803,ChilledWater
22.8224,73.2123,831.0336,0.1037,1.9934,0.5831,Evaporative
32.8358,59.5933,1492.5246,0.1895,1.8301,0.7453,Evaporative
40.0879,55.1231,1610.3745,0.1238,1.9128,0.6527,ChilledWater
36.3948,86.4394,246.7849,0.1500,1.9305,0.4098,ChilledWater
33.3630,65.4361,1450.4083,0.2130,1.1590,0.7052,Evaporative
26.5488,39.3974,1358.3977,0.2211,0.4358,0.2971,Evaporative
36.5539,29.8861,1595.6060,0.2039,1.6395,0.7130,ChilledWater
33.4844,68.1621,1158.9861,0.2187,2.3536,0.2973,Evaporative
33.7609,30.4794,1645.2250,0.1549,1.2268,0.5646,ChilledWater
21.1831,38.7733,1799.4718,0.1151,1.6528,0.2895,Evaporative
26.8253,20.0632,1875.0683,0.1611,0.5853,0.2656,Evaporative
15.5736,74.9410,575.2208,0.2095,1.1891,0.4408,AirEconomizer
40.6434,77.4055,258.6989,0.2159,2.1725,0.4124,ChilledWater
27.3380,80.1883,1428.4141,0.2199,2.1202,0.4661,Evaporative
33.6809,73.7709,1664.0067,0.1287,1.0611,0.4524,ChilledWater
29.7869,30.2304,1121.6038,0.2319,2.3989,0.6974,Evaporative
20.2885,43.6042,804.3459,0.0796,2.0694,0.6978,AirEconomizer
41.5468,34.9144,439.1165,0.0712,2.1573,0.3481,ChilledWater
18.4041,27.6304,1395.5302,0.1317,1.8351,0.7074,AirEconomizer
35.9371,78.0247,704.4060,0.1657,0.8150,0.6004,ChilledWater
21.0202,66.4329,1010.7940,0.1285,2.1201,0.4361,Evaporative
33.8704,31.2916,901.6563,0.1325,1.9823,0.4072,ChilledWater
42.4029,86.3922,1135.3991,0.0879,0.9963,0.3246,ChilledWater
24.8708,26.0434,1958.8787,0.1632,1.0621,0.3747,Evaporative
40.4699,47.7474,1700.8834,0.2445,1.4268,0.2161,ChilledWater
31.3798,42.1021,887.4444,0.1867,1.7012,0.2783,Evaporative
34.9652,46.4852,1326.0241,0.1142,1.5284,0.3376,ChilledWater
44.9120,48.7494,1279.4370,0.1646,0.4930,0.3200,ChilledWater
17.1162,37.7687,207.4007,0.1345,2.0839,0.6758,AirEconomizer
28.8196,86.8749,1739.4062,0.1171,1.5872,0.5511,Evaporative
40.3124,38.6864,1887.0213,0.1909,0.8525,0.4575,ChilledWater
21.4419,34.7704,371.0483,0.1921,1.1293,0.2156,Evaporative
43.0187,82.2298,577.7898,0.0591,1.7227,0.6121,ChilledWater
35.2396,52.4425,1452.0367,0.0685,1.9191,0.5135,ChilledWater
24.6160,82.6069,1549.6651,0.0860,1.1455,0.2553,Evaporative
42.1542,20.7954,911.6664,0.2380,1.7533,0.5444,ChilledWater
32.1582,54.2487,1270.1836,0.0902,1.7922,0.6776,Evaporative
32.8834,42.5683,1576.1765,0.2274,2.2005,0.3126,Evaporative
41.1410,33.1883,1552.5846,0.0916,0.7906,0.7088,ChilledWater
18.0254,41.5141,965.5579,0.2101,1.0447,0.3148,AirEconomizer
36.2992,79.8725,693.1007,0.0773,1.0069,0.6060,ChilledWater
22.1251,84.9670,1513.3486,0.1130,2.3256,0.7300,Evaporative
29.1802,46.9059,276.0457,0.1758,0.4682,0.7254,Evaporative
37.5390,52.6723,1437.3635,0.0514,1.4079,0.6998,ChilledWater
37.7872,83.7387,1991.1493,0.1473,1.1438,0.5937,ChilledWater
33.7410,71.5369,1314.5043,0.1155,2.2154,0.5122,ChilledWater
29.9432,32.8733,1842.1641,0.2006,0.7425,0.4365,Evaporative
39.2023,41.8115,706.7367,0.1970,1.4825,0.2016,ChilledWater
36.1956,78.7974,729.0845,0.2174,2.3214,0.5533,ChilledWater
27.3060,55.1242,348.0180,0.0756,1.3901,0.6791,Evaporative
20.0651,71.5449,958.3920,0.1105,1.5522,0.6491,Evaporative
44.8950,38.7634,1033.4067,0.1841,1.0837,0.7334,ChilledWater
23.2364,41.5415,776.5604,0.2460,0.6412,0.4436,Evaporative
22.0042,63.6411,1251.7765,0.1416,0.4997,0.6252,Evaporative
40.8970,21.2097,331.6220,0.2419,1.3621,0.6260,ChilledWater
44.0891,35.4711,372.5056,0.0798,1.0653,0.7008,ChilledWater
17.8480,51.6892,1545.9222,0.2018,1.6255,0.6148,AirEconomizer
33.6430,79.8565,234.2067,0.1961,0.7817,0.6611,Evaporative
19.2455,49.9732,430.2530,0.1571,0.8817,0.3541,AirEconomizer
36.4788,52.2051,1290.0069,0.2410,0.9512,0.2522,ChilledWater
40.8754,62.7639,985.3819,0.1762,1.8321,0.6997,ChilledWater
29.1584,82.6807,1039.0851,0.1911,2.3644,0.4861,Evaporative
32.7214,68.4227,821.5610,0.0546,1.4095,0.3989,Evaporative
28.0592,44.7458,718.1166,0.1726,2.1288,0.5536,Evaporative
36.2555,87.5181,1579.9199,0.1168,1.5790,0.6647,ChilledWater
27.4019,63.2636,338.9720,0.1816,0.6868,0.2647,Evaporative
40.3652,45.6702,561.7190,0.0583,1.6083,0.2783,ChilledWater
23.1933,64.6031,340.4621,0.0966,0.7497,0.5328,Evaporative
23.1226,59.6448,1662.2587,0.1101,2.2601,0.6247,Evaporative
32.4977,86.7270,772.1156,0.0982,0.6536,0.6706,Evaporative
26.7114,58.9692,1765.8096,0.1383,1.4695,0.2791,Evaporative
32.7065,51.8416,446.9224,0.0996,1.2320,0.7236,Evaporative
20.7472,50.7233,1586.2507,0.1906,1.6848,0.5627,Evaporative
33.5587,67.8516,287.6694,0.1467,0.4957,0.5985,Evaporative
44.9558,64.6008,1135.1732,0.0638,0.7735,0.2242,ChilledWater
35.5470,57.5843,1747.9430,0.1712,0.4082,0.3293,ChilledWater
15.7239,68.8442,765.0238,0.1025,1.4232,0.6832,AirEconomizer
42.0513,66.5389,514.0652,0.1771,1.2548,0.7315,ChilledWater
42.3907,25.2232,1469.4382,0.2438,1.9027,0.3902,ChilledWater
19.0515,30.7625,488.1787,0.0996,0.7142,0.7124,AirEconomizer
38.3196,82.8579,1626.2299,0.0927,1.0889,0.5130,ChilledWater
25.5974,36.3678,1715.3877,0.2099,1.5623,0.3881,Evaporative
18.7718,66.3816,1840.5731,0.1547,1.0145,0.5562,AirEconomizer
20.3559,71.1843,449.3105,0.2388,1.3628,0.6034,Evaporative
32.3993,23.6938,986.7382,0.0620,1.2415,0.5053,Evaporative
24.5024,77.0668,950.5928,0.1598,1.7314,0.5138,Evaporative
25.7802,72.3724,1156.3073,0.1083,0.5312,0.4601,Evaporative
38.9890,38.4910,1081.8764,0.2122,0.5975,0.3610,ChilledWater
20.8414,21.6940,1999.1194,0.0513,1.9405,0.6867,AirEconomizer
24.7997,89.2220,1500.4139,0.2481,2.1333,0.5146,Evaporative
33.2443,39.1576,1690.2638,0.1637,1.6538,0.6681,Evaporative
28.1883,84.0713,655.9641,0.0673,0.8698,0.3024,Evaporative
25.8564,36.4075,1072.2618,0.0911,2.1333,0.3747,Evaporative
39.0987,57.0409,676.8002,0.2412,1.1750,0.4230,ChilledWater
25.2853,69.5255,1406.1457,0.2339,2.1573,0.2573,Evaporative
29.9787,50.5051,1570.6058,0.2469,0.5357,0.2601,Evaporative
21.1258,82.7896,1818.4654,0.0907,1.2090,0.3831,ChilledWater
44.0271,32.4929,979.7302,0.1076,0.9498,0.2192,ChilledWater
37.0507,33.1905,353.3230,0.0894,1.0727,0.4946,ChilledWater
16.5503,40.6056,1811.7212,0.1907,2.4151,0.5092,AirEconomizer
20.1709,35.2533,529.3562,0.0956,2.3996,0.4678,AirEconomizer
30.5559,31.6462,1816.2447,0.1310,0.5797,0.3722,Evaporative
30.1991,52.0310,1861.1611,0.2128,1.4159,0.7341,Evaporative
27.9774,65.6309,1998.4516,0.2335,1.9091,0.4962,Evaporative
22.8698,38.5156,1532.9656,0.0886,0.6613,0.3032,Evaporative
40.9955,71.5215,1446.5424,0.1715,1.8187,0.6493,ChilledWater
22.8019,48.1572,509.4362,0.1047,0.4673,0.3926,Evaporative
33.8149,59.7354,307.7284,0.1132,1.5198,0.7396,ChilledWater
29.5343,51.6866,634.3177,0.1644,2.0175,0.3188,Evaporative
43.9532,33.2835,1471.9828,0.2126,1.4372,0.4331,ChilledWater
26.8236,40.0064,1502.1809,0.0949,1.6608,0.6514,Evaporative
33.6138,25.2307,216.9202,0.0550,2.3660,0.2068,Evaporative
39.4606,79.5445,1291.8686,0.1525,0.8961,0.5113,ChilledWater
16.0409,35.0894,1229.8388,0.1856,0.4565,0.6204,AirEconomizer
43.8473,89.1600,1322.3036,0.1602,1.2895,0.2161,ChilledWater
18.8926,20.7278,654.4033,0.2454,0.8417,0.3130,AirEconomizer
18.3695,72.4437,832.1422,0.2179,0.9421,0.4345,AirEconomizer
36.6204,55.4159,509.6447,0.1098,1.4532,0.7157,ChilledWater
17.2076,78.0782,394.3255,0.1014,0.5839,0.5107,AirEconomizer
26.6052,71.7280,1597.8965,0.1619,1.5092,0.4220,Evaporative
36.6489,33.7995,1454.9043,0.2156,0.3384,0.4101,ChilledWater
29.3785,85.1838,655.9809,0.2399,0.9033,0.2699,Evaporative
36.1961,76.4472,1932.5790,0.0822,1.8707,0.6110,ChilledWater
41.6441,30.7368,1010.4079,0.0723,0.6731,0.6696,ChilledWater
37.8126,51.5966,431.2215,0.2265,1.8168,0.2853,ChilledWater
22.0177,74.5017,1772.5413,0.1591,1.6845,0.2014,Evaporative
15.5023,41.3338,202.2117,0.1820,0.8688,0.3179,AirEconomizer
23.4166,61.4674,853.6334,0.0693,1.2295,0.5642,Evaporative
24.0903,57.8647,746.7456,0.1527,2.4908,0.4542,Evaporative
32.8537,77.3481,1392.3254,0.2081,1.0079,0.2258,Evaporative
30.5561,63.8447,1470.3386,0.0649,0.9293,0.2037,Evaporative
39.0355,59.2065,768.6538,0.0542,1.1342,0.6603,ChilledWater
43.5624,47.5687,1092.5703,0.0985,0.5924,0.6468,ChilledWater
20.6078,35.0129,428.8008,0.0905,1.9972,0.3051,AirEconomizer
36.9333,82.4828,774.6878,0.1174,0.7773,0.2533,ChilledWater
43.1614,46.9115,1663.7721,0.1357,1.7851,0.4344,ChilledWater
30.7531,35.8564,1956.0013,0.1152,1.7451,0.3753,Evaporative
41.1843,56.6184,1072.8771,0.1434,0.8849,0.4185,ChilledWater
19.4903,30.8988,1887.0819,0.0573,2.4617,0.5102,AirEconomizer
22.0359,34.1102,499.3371,0.1582,1.7633,0.4844,Evaporative
40.0971,30.1114,213.5851,0.1372,1.3549,0.6666,ChilledWater
42.7198,42.5397,1550.5381,0.2142,1.3467,0.2411,ChilledWater
34.3908,75.2309,899.1001,0.0656,0.9703,0.6746,ChilledWater
26.7457,83.1727,1209.3935,0.1236,1.3268,0.2572,Evaporative
39.1932,30.7549,878.7402,0.1856,1.6516,0.2471,ChilledWater
27.6965,34.0459,305.9733,0.1321,2.4414,0.4568,Evaporative
34.6895,53.7299,1907.2639,0.1446,1.1175,0.6879,ChilledWater
18.2563,85.0260,550.0065,0.1231,1.8025,0.2493,ChilledWater
26.2582,22.2418,1306.3336,0.1682,1.4617,0.3822,Evaporative
28.4055,29.9810,1025.0543,0.2153,1.7779,0.4172,Evaporative
37.6359,48.8635,525.0907,0.0534,2.2613,0.6254,ChilledWater
24.2531,23.8818,1714.1009,0.2423,2.1696,0.7119,Evaporative
43.6970,73.1978,806.5468,0.0518,0.7466,0.2624,ChilledWater
39.5517,58.8058,1363.9992,0.1035,1.0765,0.7468,ChilledWater
29.3631,49.5965,999.3584,0.2243,1.9570,0.5578,Evaporative
35.3315,58.0477,1002.6611,0.1555,2.2800,0.5783,ChilledWater
27.2010,52.1410,870.3759,0.2356,0.8860,0.7138,Evaporative
29.2877,51.8210,898.0682,0.0546,1.8471,0.3832,Evaporative
30.1251,39.0407,1757.9259,0.1117,2.0042,0.6268,Evaporative
35.5725,41.3919,1292.1341,0.1732,0.7102,0.4725,ChilledWater
37.2905,22.7341,1259.1075,0.2011,2.0399,0.5984,ChilledWater
37.4664,60.8913,1255.1352,0.0972,1.4504,0.2258,ChilledWater
30.7468,40.1713,1666.4519,0.0763,0.8940,0.6212,Evaporative
30.0443,87.5321,287.8802,0.1584,2.1880,0.5898,Evaporative
17.7135,20.0136,1260.1168,0.1682,1.6709,0.6586,AirEconomizer
17.4013,51.4913,648.9784,0.0770,0.3647,0.4076,AirEconomizer
28.4512,89.8035,521.3566,0.1562,1.2146,0.6747,Evaporative
29.2686,86.3186,1003.5147,0.1762,1.6908,0.3336,Evaporative
32.6167,26.5386,1461.3290,0.1329,1.0592,0.5453,Evaporative
44.9237,59.3938,1677.1343,0.0877,1.2255,0.3383,ChilledWater
37.7272,58.5270,1956.3699,0.1284,1.7207,0.4448,ChilledWater
18.1908,89.6820,555.9844,0.1914,0.8571,0.6752,ChilledWater
21.9013,74.9081,1846.6895,0.1148,0.7910,0.2097,Evaporative
26.0255,46.8195,1298.1574,0.2269,0.5590,0.3583,Evaporative
19.4021,21.7904,390.0097,0.1120,1.5246,0.3200,AirEconomizer
34.6932,71.4161,216.2227,0.1789,0.7088,0.4453,ChilledWater
41.6787,70.5882,1464.9870,0.0919,1.9544,0.4725,ChilledWater
21.8772,71.3699,753.1319,0.0653,1.0782,0.6774,Evaporative
38.5838,84.8341,691.3338,0.2156,0.4168,0.6408,ChilledWater
40.1893,32.9654,905.2272,0.0630,1.0263,0.4484,ChilledWater
44.2400,66.4983,1774.3703,0.1493,1.7230,0.4762,ChilledWater
37.5093,68.5631,1646.2762,0.0705,0.3612,0.5617,ChilledWater
39.6358,51.6651,891.3104,0.1826,1.8709,0.5546,ChilledWater
22.3403,44.7890,975.4038,0.1475,2.0726,0.2842,Evaporative
29.4518,58.2984,1814.9070,0.2203,1.1600,0.3088,Evaporative
17.9473,36.2928,1649.4864,0.0746,2.4820,0.3182,AirEconomizer
43.8486,45.7690,1917.1488,0.2340,1.6425,0.4665,ChilledWater
27.4303,40.3700,967.0192,0.1556,0.5099,0.3930,Evaporative
26.9954,66.8253,811.5242,0.2455,1.8251,0.7291,Evaporative
23.0884,27.0301,1945.6609,0.1251,0.7118,0.5159,Evaporative
22.9737,57.7557,776.9365,0.1643,0.4170,0.6303,Evaporative
37.4420,37.4405,679.6090,0.2399,0.5038,0.5330,ChilledWater
36.3608,31.6212,859.6761,0.2295,1.3157,0.3094,ChilledWater
20.1094,71.0908,1175.6508,0.1100,0.9619,0.7168,Evaporative
29.2817,52.6329,1471.9239,0.1897,0.3146,0.6675,Evaporative
34.3692,78.4945,1348.1818,0.1815,2.1596,0.3321,ChilledWater
29.0103,37.0011,996.0830,0.1207,0.6247,0.3469,Evaporative
29.6948,31.7847,1503.6796,0.1955,2.1870,0.6822,Evaporative
30.3104,46.9038,963.8031,0.1041,0.6089,0.5334,Evaporative
31.8076,40.1560,964.0647,0.2403,0.3848,0.5466,Evaporative
34.6265,79.6037,1406.8851,0.0918,1.5466,0.5373,ChilledWater
19.8743,40.7714,666.0758,0.1679,2.3187,0.5508,AirEconomizer
43.9658,73.1826,1574.3221,0.1418,1.9663,0.2913,ChilledWater
41.3611,38.4753,1830.2338,0.1719,1.4232,0.4955,ChilledWater
40.8583,73.8721,975.5534,0.2499,1.5147,0.4375,ChilledWater
28.7583,79.4396,1918.1617,0.2175,2.0478,0.4807,Evaporative
37.1409,37.5256,844.5793,0.2028,0.4638,0.5922,ChilledWater
38.9041,74.7227,1290.9737,0.1771,1.0536,0.4766,ChilledWater
43.4779,39.4077,622.9038,0.0510,0.4008,0.4322,ChilledWater
44.9611,89.6315,444.1441,0.1564,1.3265,0.3760,ChilledWater
18.5161,52.1709,331.3427,0.1400,1.5908,0.3937,AirEconomizer
33.2377,33.7492,1825.7084,0.1971,0.9996,0.5090,Evaporative
21.3654,81.6449,1941.5565,0.1488,1.3588,0.4607,ChilledWater
22.0002,54.5338,644.8474,0.1083,1.6087,0.4645,Evaporative
43.7047,23.8832,1467.7355,0.0625,1.3936,0.6905,ChilledWater
17.1797,44.4861,1546.8490,0.2210,2.0433,0.6322,AirEconomizer
38.2320,74.7902,1877.1854,0.0530,1.5466,0.3917,ChilledWater
20.4616,68.0528,368.1364,0.1616,0.9990,0.3241,AirEconomizer
38.4088,25.5989,265.6345,0.0569,1.2683,0.6164,ChilledWater
38.6267,39.6522,391.5012,0.1191,0.8890,0.4320,ChilledWater
20.4984,23.4717,858.8997,0.2263,2.1047,0.5759,AirEconomizer
29.2192,78.4969,996.8692,0.1241,0.8285,0.6972,Evaporative
42.7479,56.5668,287.1224,0.1784,2.4604,0.4638,ChilledWater
36.6286,29.2406,1946.8766,0.1671,0.7691,0.5496,ChilledWater
28.2411,67.0447,831.1039,0.0956,1.3276,0.6923,Evaporative
44.4980,59.8843,1959.2274,0.1709,0.9287,0.4671,ChilledWater
17.4262,53.6791,762.3402,0.2148,1.6766,0.4572,AirEconomizer
25.0127,29.8538,299.2504,0.0766,2.3402,0.2665,Evaporative
43.6207,87.9975,689.1779,0.1068,1.5064,0.6407,ChilledWater
33.0699,51.6985,1676.2641,0.2242,1.0217,0.5599,Evaporative
39.9013,54.1889,1781.0812,0.1753,0.9671,0.2009,ChilledWater
43.5986,79.4581,1146.3116,0.1970,1.3603,0.2481,ChilledWater
18.7072,23.4040,671.3217,0.1983,1.0771,0.2221,AirEconomizer
43.3715,85.4097,411.5149,0.1542,1.9963,0.2722,ChilledWater
16.2186,77.5091,535.4723,0.1066,1.5853,0.5611,AirEconomizer
24.5411,84.6282,862.7472,0.2014,0.3937,0.4144,Evaporative
32.1150,35.8679,708.9081,0.1224,1.4552,0.5347,Evaporative
15.8326,33.5843,937.5173,0.1432,1.3910,0.2612,AirEconomizer
21.6765,81.2879,1641.0849,0.0887,0.4808,0.5295,Evaporative
28.8410,34.8509,658.9047,0.2249,0.5388,0.6442,Evaporative
21.3630,67.9033,1587.6886,0.0910,1.2899,0.2519,Evaporative
21.2042,64.9014,1584.0782,0.2006,2.1511,0.7237,Evaporative
20.9843,84.4564,213.8198,0.1122,2.0340,0.4541,Evaporative
25.5636,85.9601,222.3783,0.0670,1.3204,0.6069,Evaporative
35.3732,71.1981,222.1935,0.0734,2.0186,0.4345,ChilledWater
43.1761,25.8978,1883.1377,0.0693,1.4814,0.4761,ChilledWater
36.0794,77.4437,1229.9105,0.1905,0.9895,0.6064,ChilledWater
43.8020,32.2712,282.3595,0.1245,2.2442,0.6527,ChilledWater
39.0212,49.7044,1395.6727,0.1229,0.7543,0.3198,ChilledWater
19.0722,77.7603,1875.0692,0.2138,1.9630,0.5853,ChilledWater
37.2659,57.2543,546.3867,0.1082,0.8932,0.6979,ChilledWater
34.9263,84.4876,786.5991,0.1697,2.2567,0.3315,ChilledWater
19.1541,53.0023,367.9197,0.1600,2.0887,0.2137,AirEconomizer
19.9125,33.9878,1791.2631,0.2296,1.8545,0.3890,AirEconomizer
40.8399,52.6039,1009.3438,0.0587,0.8934,0.5908,ChilledWater
20.1567,57.9470,1630.8218,0.1380,0.5040,0.5956,AirEconomizer
38.9895,63.8811,1003.3217,0.0901,1.7414,0.2535,ChilledWater
38.6320,42.2411,277.8341,0.0631,1.2456,0.2794,ChilledWater
33.8644,21.8084,727.3612,0.0730,0.9097,0.3879,ChilledWater
25.9996,43.2806,730.4384,0.1409,2.3363,0.4810,Evaporative
15.3076,21.5847,1321.4821,0.1817,1.1387,0.4438,AirEconomizer
32.7439,21.2024,575.2988,0.0831,1.8849,0.4647,Evaporative
44.2597,83.6212,837.4134,0.1924,0.9291,0.4244,ChilledWater
37.5858,49.0529,874.3997,0.1677,2.0505,0.6481,ChilledWater
20.3543,29.6652,1222.7559,0.0838,0.3533,0.3558,AirEconomizer
35.2380,40.7643,319.0663,0.0924,1.0494,0.4568,ChilledWater
21.8704,88.7147,1340.6169,0.1865,1.5351,0.7208,ChilledWater
27.4506,43.4547,1251.0342,0.1924,2.4170,0.4511,Evaporative
27.8659,44.8909,1191.0445,0.1084,0.9875,0.3205,Evaporative
35.0015,71.3681,475.5853,0.2204,2.3767,0.3240,ChilledWater
43.6769,77.0010,835.1580,0.0706,2.3273,0.6931,ChilledWater
34.7934,89.6177,385.7155,0.2492,1.7839,0.6428,ChilledWater
40.1309,41.1537,826.1923,0.0572,0.5306,0.5781,ChilledWater
25.5528,65.8132,978.9913,0.0860,1.1279,0.4836,Evaporative
43.8118,33.4874,223.7442,0.1233,2.0380,0.6069,ChilledWater
37.7575,76.6221,1680.2010,0.0927,1.1045,0.3087,ChilledWater
40.5032,49.8208,1108.3287,0.1185,2.0743,0.4909,ChilledWater
28.3768,24.3555,1483.0989,0.0703,0.9022,0.2470,Evaporative
16.5479,32.8609,1922.9233,0.1564,0.3043,0.3453,AirEconomizer
28.7678,35.7675,593.4880,0.1066,2.3812,0.4102,Evaporative
33.2803,55.4769,346.5002,0.2120,2.2172,0.6070,Evaporative
24.6498,61.4180,893.5814,0.1908,0.5726,0.4181,Evaporative
27.9200,60.4991,1951.6140,0.2418,1.5999,0.5513,Evaporative
20.4663,89.1770,1354.0281,0.1763,1.3718,0.6095,ChilledWater
20.3607,23.5016,1213.9356,0.2089,1.9402,0.6059,AirEconomizer
36.6454,89.7309,595.1825,0.1135,0.7605,0.5311,ChilledWater
39.1463,75.1005,1526.1914,0.1446,0.3873,0.3422,ChilledWater
17.2842,75.3048,1743.1467,0.0901,2.1512,0.3781,AirEconomizer
